Grouped,Currency,Name,GTIN,Ledger,"ProductStatus",Items sold,"Avg ItemSales Price","Net AmountVAT 9%","Gross AmountVAT 9%","Net AmountVAT 21%","Gross AmountVAT 21%","Net AmountVAT 0%","Total Revenueexcl. VAT","Total Revenueincl. VAT",Buying price excl. tax,Total buying price,Margin,Margin %,Markup,"Revenue %of Category","Revenue %of Total"
Accessoires & Merch,EUR,Ceremonial Candle: Saint,04001003,788865,ARCHIVED,2,69.2,0,0,114.380166,138.4,0,114.380166,138.4,32,64,50.380166,0.440462,0.78719
Accessoires & Merch,EUR,The Therapy Journal,04001058,788865,ACTIVE,1,33,30.275229,33,0,0,0,30.275229,33,0,0,30.275229,0,
Coffee,EUR,Cappuccino,04000013,788865,ACTIVE,14,4.375,56.192661,61.25,0,0,0,56.192661,61.25,0,0,56.192661,0,
Coffee,EUR,Latte,04000020,788865,ACTIVE,7,4.828571,31.009173,33.8,0,0,0,31.009173,33.8,0,0,31.009173,0,
Coffee,EUR,Espresso,04000037,788865,ACTIVE,5,3.5,16.055045,17.5,0,0,0,16.055045,17.5,0,0,16.055045,0,
Coffee,EUR,Americano,04000044,788865,ACTIVE,2,4.075,7.477064,8.15,0,0,0,7.477064,8.15,0,0,7.477064,0,
Coffee,EUR,Flat White,04000051,788865,ACTIVE,1,4.65,4.266055,4.65,0,0,0,4.266055,4.65,0,0,4.266055,0,
Cosmetics,EUR,ТОСОВО - MINT COOLING LIP MASK,04000815,788865,DRAFT,6,20.3,0,0,100.661158,121.8,0,100.661158,121.8,0,0,100.661158,0,
Cosmetics,EUR,Numbuzin - No.2 Rose PDRN Collagen Plumping Sheet Mask,04000853,788865,ACTIVE,4,28,0,0,92.561984,112,0,92.561984,112,0,0,92.561984,0,
Cosmetics,EUR,ABIB - GEL MASK HEARTLEAF JELLY - SINGLE MASK,04000716,788865,ARCHIVED,19,4.99,0,0,78.355373,94.81,0,78.355373,94.81,2.06,39.14,39.215373,0.500481,1.001926
Cosmetics,EUR,BIODANCE - PORE PERFECTING COLLAGEN PEPTIDE SERUM,04000914,788865,ACTIVE,3,29,0,0,71.900826,87,0,71.900826,87,0,0,71.900826,0,
Cosmetics,EUR,TOCOBO - JUICY BERRY PLUMPING LIP OIL GLAM HONEY LEMON,04000778,788865,DRAFT,5,17,0,0,70.247935,85,0,70.247935,85,0,0,70.247935,0,
